Field,Soil Moisture (%),Temperature (°C),Humidity (%),Light Intensity (lux),pH Level,Nutrient Level (N),Nutrient Level (P),Nutrient Level (K),Growth Rate,Leaf Color,Disease Resistance,Yield Prediction,Soil Moisture,Nutrient Levels,Temperature,Pesticide Levels,Application Accuracy,Toxicity Levels,Residuals,Field Variability,Resource Efficiency,Cost Reduction,Yield Improvement,Weather Prediction,Market Trends,Yield Forecasting,Risk Management,Reservoir Levels,Irrigation Scheduling,Flood Prediction,Water Quality
Field_B,36.6,21.77,49.54,82046,100%,45.83,8.79,18.72,70%,84%,82%,67%,82%,92%,66%,75%,68%,83%,89%,78%,97%,69%,60%,78%,77%,81%,68%,91%,77%,66%,60%
Field_A,37.26,23.04,56.34,49963,68%,18.34,7.16,15.46,61%,83%,82%,88%,60%,63%,85%,83%,77%,73%,93%,92%,97%,97%,88%,83%,90%,85%,90%,69%,72%,96%,65%
Field_D,30.15,28.85,43.76,53415,66%,45.41,21.36,20.2,62%,81%,100%,94%,69%,63%,99%,75%,89%,75%,100%,87%,73%,76%,75%,89%,63%,98%,67%,72%,66%,63%,68%
Field_D,29.27,28.81,42.99,59740,77%,34.79,24.99,31.9,86%,98%,63%,65%,66%,97%,100%,71%,76%,87%,88%,90%,85%,67%,69%,86%,94%,73%,100%,64%,92%,60%,69%
Field_B,38.13,34.46,67.26,71866,92%,24.59,23.36,33.48,71%,88%,64%,71%,84%,95%,97%,67%,80%,81%,85%,69%,78%,70%,60%,85%,86%,82%,85%,93%,72%,66%,89%
Field_E,24.31,22.98,30.1,22779,99%,34.17,10.6,21.61,93%,97%,94%,98%,68%,72%,88%,85%,71%,89%,97%,73%,65%,78%,66%,76%,65%,73%,88%,96%,93%,68%,99%
Field_C,12.51,22.04,58.8,58653,70%,18.48,15.78,17.62,88%,97%,98%,63%,74%,87%,94%,78%,76%,87%,79%,61%,79%,70%,60%,75%,99%,73%,75%,86%,63%,79%,78%
Field_D,29.04,34.18,65.49,19513,91%,46.02,15.13,36.05,73%,98%,85%,90%,85%,83%,89%,98%,85%,82%,96%,83%,68%,77%,60%,72%,66%,79%,81%,76%,64%,62%,63%
Field_D,25.48,25.25,54.13,10527,94%,40.71,15.89,12.61,65%,63%,85%,76%,77%,86%,70%,96%,61%,64%,69%,85%,64%,86%,99%,65%,80%,84%,94%,92%,76%,73%,88%
Field_C,38.62,23.15,64.58,65398,78%,26.26,9.61,17.82,85%,65%,62%,68%,89%,73%,70%,76%,72%,63%,95%,83%,87%,82%,72%,89%,70%,88%,83%,88%,81%,71%,76%
Field_E,23.44,33.27,69.03,89901,96%,40.5,24.38,26.53,80%,63%,67%,92%,84%,94%,82%,87%,100%,84%,93%,97%,67%,68%,77%,67%,99%,99%,63%,69%,75%,96%,63%
Field_D,30.45,23.56,44.82,63830,76%,25.76,7.71,28.45,82%,60%,79%,78%,79%,73%,69%,87%,90%,90%,81%,84%,86%,79%,60%,61%,61%,98%,86%,90%,84%,76%,85%
Field_B,18.82,27.92,31.43,89567,99%,42.07,14.55,27.11,86%,89%,71%,68%,77%,66%,89%,65%,86%,63%,89%,91%,68%,67%,94%,86%,64%,95%,91%,61%,85%,85%,76%
Field_B,34.6,21.91,48.37,39860,65%,28.04,16.08,20.38,90%,74%,72%,81%,78%,70%,97%,87%,76%,94%,78%,64%,93%,99%,77%,99%,67%,64%,98%,99%,83%,73%,99%
Field_D,13.66,24.21,31.42,62056,94%,27.51,20.51,15.73,82%,63%,96%,85%,95%,60%,99%,88%,75%,92%,90%,92%,64%,96%,95%,93%,81%,72%,100%,67%,85%,92%,64%
Field_D,10.11,27.34,69.01,55070,79%,40.54,7.52,38.13,73%,67%,84%,94%,70%,74%,66%,76%,60%,67%,66%,80%,94%,95%,91%,100%,84%,67%,99%,73%,98%,96%,67%
Field_B,13.4,26.43,42.71,72845,66%,48.39,20.8,14.37,85%,97%,84%,92%,95%,68%,91%,90%,89%,62%,80%,60%,85%,75%,63%,68%,72%,66%,85%,79%,70%,71%,77%
Field_A,28.6,21.81,33.78,61372,88%,26.62,13.63,21.2,87%,62%,82%,62%,99%,69%,91%,92%,73%,72%,88%,78%,76%,94%,83%,98%,70%,71%,90%,95%,88%,92%,65%
Field_D,25.4,24.39,30.65,19566,83%,36.99,21.34,28.48,77%,61%,95%,94%,100%,76%,97%,72%,91%,96%,68%,77%,88%,97%,87%,84%,81%,97%,77%,85%,82%,70%,97%
Field_C,25.36,33.37,66.92,64534,76%,20.9,20.1,30.7,82%,83%,64%,98%,94%,65%,96%,79%,96%,81%,99%,91%,90%,95%,61%,66%,93%,85%,70%,96%,81%,85%,67%
Field_C,38.72,27.63,66.42,56647,80%,39.33,22.82,20.77,66%,64%,95%,87%,76%,99%,63%,74%,96%,75%,93%,79%,93%,84%,98%,78%,86%,98%,87%,87%,64%,65%,68%
Field_D,27.34,23.0,34.14,81146,70%,10.05,19.5,20.9,74%,80%,68%,67%,75%,86%,87%,77%,70%,67%,65%,99%,70%,95%,87%,79%,95%,82%,73%,80%,61%,64%,95%
Field_D,23.97,24.29,38.5,57978,77%,42.14,9.6,33.21,84%,81%,88%,83%,89%,60%,89%,76%,66%,68%,84%,79%,80%,98%,88%,79%,61%,71%,73%,99%,90%,77%,75%
Field_D,32.76,28.41,68.63,45328,72%,12.73,18.26,39.38,71%,88%,60%,67%,65%,86%,95%,85%,82%,74%,70%,74%,80%,98%,66%,89%,89%,82%,81%,89%,82%,83%,83%
Field_D,26.12,20.74,39.04,51047,70%,19.29,23.26,30.28,96%,68%,84%,90%,74%,71%,61%,93%,90%,75%,96%,69%,69%,94%,74%,76%,93%,89%,64%,90%,86%,79%,94%
Field_D,22.81,34.69,67.39,15952,62%,20.47,13.33,33.2,78%,66%,99%,63%,78%,75%,69%,89%,60%,89%,73%,74%,94%,62%,63%,94%,100%,97%,71%,72%,62%,87%,60%
Field_E,29.83,20.45,62.91,81948,77%,22.26,13.13,39.65,63%,100%,90%,60%,75%,69%,75%,94%,92%,75%,92%,87%,90%,87%,98%,62%,77%,87%,86%,91%,81%,74%,80%
Field_E,30.26,29.97,48.72,38723,99%,32.3,23.43,18.58,86%,60%,84%,81%,77%,90%,88%,65%,79%,97%,64%,87%,67%,72%,92%,71%,82%,78%,68%,72%,81%,74%,72%
Field_C,32.74,22.96,54.96,67804,97%,17.0,19.36,30.13,91%,76%,78%,67%,91%,98%,79%,78%,97%,95%,87%,91%,83%,100%,98%,94%,90%,96%,85%,93%,86%,76%,95%
Field_C,39.19,26.92,56.11,44947,93%,34.47,21.65,38.83,85%,78%,82%,67%,64%,70%,66%,95%,73%,80%,60%,94%,99%,75%,80%,74%,69%,98%,77%,71%,76%,76%,91%
Field_A,36.86,28.47,31.13,96326,75%,38.25,23.41,14.65,75%,86%,62%,70%,92%,71%,94%,76%,99%,79%,87%,78%,93%,80%,96%,96%,81%,74%,81%,66%,78%,68%,75%
Field_C,22.57,26.92,62.22,49859,72%,27.84,12.32,39.48,79%,89%,70%,70%,95%,87%,95%,80%,62%,67%,97%,60%,62%,84%,83%,72%,90%,72%,76%,88%,90%,79%,80%
Field_C,23.47,23.98,41.97,44913,78%,12.58,7.07,16.04,96%,99%,63%,79%,91%,80%,97%,69%,83%,81%,97%,66%,63%,74%,95%,79%,99%,90%,96%,61%,87%,96%,95%
Field_E,24.28,26.88,57.44,46087,100%,31.65,16.81,13.07,75%,60%,73%,95%,95%,63%,80%,86%,90%,79%,79%,85%,79%,74%,71%,60%,65%,74%,89%,64%,62%,95%,73%
Field_A,11.75,25.33,68.05,49229,83%,43.97,6.02,34.85,88%,86%,88%,72%,81%,72%,68%,61%,78%,87%,83%,81%,79%,69%,66%,73%,97%,63%,63%,61%,92%,63%,92%
Field_D,11.68,21.88,64.52,95142,66%,21.19,16.15,30.67,82%,100%,74%,87%,65%,65%,65%,76%,66%,86%,92%,71%,79%,87%,85%,70%,62%,94%,65%,77%,81%,76%,67%
Field_D,33.43,31.22,39.79,72394,67%,32.94,16.67,31.97,73%,84%,77%,98%,97%,93%,68%,89%,71%,75%,72%,98%,100%,73%,67%,72%,97%,93%,61%,91%,83%,76%,88%
Field_D,25.1,28.14,59.82,38022,73%,44.61,12.68,31.56,99%,96%,85%,75%,71%,88%,90%,90%,99%,91%,81%,90%,97%,74%,83%,90%,90%,85%,89%,76%,96%,77%,96%
Field_B,10.72,26.39,60.9,94928,99%,18.69,19.89,23.67,80%,66%,69%,77%,66%,86%,72%,98%,73%,99%,87%,89%,86%,91%,91%,71%,74%,68%,87%,91%,77%,91%,80%
Field_B,29.24,25.44,66.39,41267,86%,37.5,15.6,32.61,94%,63%,97%,68%,61%,77%,78%,93%,81%,68%,77%,78%,62%,66%,84%,73%,66%,74%,75%,81%,68%,84%,99%
Field_A,17.87,28.89,47.88,37743,93%,49.03,11.07,25.91,78%,82%,69%,82%,86%,82%,68%,87%,68%,73%,60%,93%,79%,63%,69%,67%,87%,92%,99%,90%,83%,86%,94%
Field_A,20.48,20.48,44.35,49644,91%,35.31,19.86,22.57,68%,89%,97%,83%,94%,80%,70%,62%,64%,68%,85%,73%,94%,75%,93%,63%,74%,69%,98%,94%,64%,92%,64%
Field_D,29.26,26.42,37.47,82932,97%,36.13,8.54,23.21,91%,84%,90%,90%,80%,60%,85%,75%,73%,75%,93%,62%,99%,77%,62%,80%,62%,75%,68%,82%,85%,81%,100%
Field_E,36.77,31.3,62.51,38562,83%,26.06,13.18,14.26,96%,72%,86%,78%,60%,74%,86%,88%,71%,68%,62%,88%,95%,64%,65%,99%,99%,93%,79%,96%,81%,96%,95%
Field_C,27.99,29.87,58.87,99330,60%,47.86,5.99,15.48,87%,100%,75%,94%,78%,96%,68%,75%,87%,81%,73%,75%,85%,63%,75%,91%,62%,82%,93%,67%,97%,83%,82%
Field_E,25.21,23.78,43.69,81409,66%,17.67,11.77,23.17,97%,69%,68%,86%,73%,81%,92%,95%,72%,88%,64%,100%,67%,80%,67%,66%,68%,81%,69%,97%,92%,93%,64%
Field_D,17.68,34.6,33.59,88155,69%,43.79,23.94,24.95,95%,91%,98%,70%,86%,94%,99%,75%,75%,70%,70%,86%,74%,92%,100%,74%,91%,86%,86%,71%,84%,61%,75%
Field_C,35.47,31.92,34.06,68870,72%,49.28,16.71,18.69,70%,81%,61%,83%,88%,61%,71%,70%,83%,88%,72%,85%,69%,66%,72%,61%,66%,75%,75%,84%,69%,63%,67%
Field_B,20.89,22.54,52.35,52776,70%,43.98,20.32,31.98,75%,64%,78%,90%,86%,65%,88%,94%,91%,75%,71%,74%,75%,78%,96%,94%,74%,64%,72%,99%,66%,86%,69%
Field_D,20.11,25.44,49.61,58344,65%,22.21,12.09,27.25,87%,73%,80%,63%,81%,67%,98%,79%,77%,86%,88%,62%,88%,95%,91%,89%,100%,80%,84%,62%,70%,88%,84%
Field_B,34.51,29.06,61.03,32781,96%,16.65,7.31,11.92,62%,89%,60%,96%,76%,64%,65%,75%,89%,100%,69%,94%,82%,70%,81%,87%,100%,80%,99%,99%,87%,90%,64%
Field_C,14.61,20.27,52.98,19778,74%,34.78,12.93,34.87,62%,76%,71%,95%,64%,73%,61%,68%,74%,99%,73%,79%,72%,67%,90%,81%,76%,71%,61%,60%,84%,91%,76%
Field_E,28.44,32.67,32.65,54034,82%,44.71,24.79,13.67,68%,68%,89%,83%,77%,63%,77%,99%,91%,99%,94%,94%,92%,93%,69%,69%,69%,60%,62%,94%,80%,62%,72%
Field_B,32.38,23.41,51.06,31362,68%,43.81,14.26,19.93,70%,97%,83%,61%,70%,97%,61%,97%,91%,71%,86%,79%,70%,66%,93%,84%,63%,78%,60%,86%,63%,89%,91%
Field_B,14.91,30.2,33.76,49573,100%,36.35,21.12,25.64,87%,70%,99%,96%,92%,99%,80%,71%,72%,90%,66%,60%,77%,83%,100%,93%,77%,87%,69%,96%,87%,66%,98%
Field_E,11.68,24.23,39.1,25350,69%,20.61,15.4,10.99,68%,73%,73%,64%,82%,76%,74%,100%,82%,98%,98%,74%,88%,86%,84%,84%,89%,67%,100%,62%,70%,96%,84%
Field_A,26.5,28.58,59.75,61087,66%,22.8,24.69,13.76,100%,69%,79%,95%,61%,74%,61%,65%,95%,96%,99%,95%,68%,95%,82%,97%,79%,88%,75%,76%,73%,78%,85%
Field_C,16.18,20.45,68.59,85864,85%,13.05,6.0,24.53,84%,85%,91%,64%,95%,94%,100%,97%,69%,97%,76%,66%,100%,91%,69%,99%,79%,64%,95%,92%,60%,91%,73%
Field_D,37.16,24.76,38.74,24101,61%,35.53,12.21,18.88,98%,63%,79%,82%,78%,61%,62%,70%,93%,87%,83%,88%,81%,75%,93%,77%,82%,96%,90%,88%,86%,73%,93%
Field_A,35.95,31.2,44.18,69434,61%,41.48,22.12,16.03,82%,84%,96%,71%,63%,77%,65%,73%,85%,74%,84%,90%,90%,96%,64%,71%,83%,89%,74%,98%,90%,76%,92%
Field_A,38.28,20.87,41.03,50157,82%,41.62,15.42,11.08,73%,88%,95%,99%,92%,72%,88%,68%,98%,74%,100%,85%,83%,70%,99%,88%,73%,90%,96%,69%,62%,100%,93%
Field_C,18.61,29.4,34.59,43800,60%,11.96,8.46,37.43,76%,61%,82%,75%,73%,77%,83%,80%,83%,61%,67%,91%,70%,97%,91%,67%,92%,66%,81%,61%,95%,69%,92%
Field_C,17.92,30.68,35.92,70679,88%,27.3,19.81,32.74,70%,69%,69%,64%,98%,85%,66%,65%,82%,75%,99%,95%,66%,69%,60%,69%,91%,67%,85%,77%,90%,88%,95%
Field_A,11.15,30.94,53.13,78995,96%,41.09,23.02,13.23,97%,79%,83%,84%,91%,69%,71%,79%,70%,88%,73%,61%,62%,82%,65%,83%,90%,61%,75%,85%,93%,71%,93%
Field_B,17.43,23.44,57.77,58529,83%,38.64,17.22,14.73,95%,81%,82%,67%,67%,66%,87%,91%,98%,81%,79%,61%,69%,72%,70%,81%,99%,91%,69%,67%,71%,77%,96%
Field_A,34.6,32.79,66.57,32100,65%,32.98,22.23,35.87,95%,85%,62%,98%,91%,71%,87%,71%,79%,98%,83%,78%,76%,93%,68%,70%,97%,66%,71%,67%,62%,87%,73%
Field_C,34.04,34.35,67.76,81456,61%,28.96,11.34,28.09,79%,85%,100%,99%,61%,62%,86%,85%,64%,87%,97%,81%,73%,68%,85%,62%,75%,66%,78%,66%,68%,79%,72%
Field_D,11.16,25.42,62.79,68218,61%,25.56,21.18,21.77,61%,92%,95%,86%,75%,80%,65%,96%,80%,100%,89%,75%,70%,86%,79%,77%,97%,66%,100%,86%,95%,81%,73%
Field_E,29.72,33.33,47.56,47452,61%,19.74,5.43,21.43,82%,62%,79%,65%,88%,62%,70%,99%,66%,93%,96%,60%,81%,92%,92%,78%,80%,100%,74%,61%,60%,97%,93%
Field_B,24.2,33.23,34.04,83944,66%,19.73,10.18,30.09,63%,67%,80%,77%,82%,65%,95%,87%,99%,84%,86%,97%,63%,74%,78%,75%,90%,87%,68%,64%,74%,71%,100%
Field_C,21.4,22.65,53.08,46394,66%,31.97,10.3,31.26,94%,84%,66%,84%,98%,69%,92%,75%,96%,88%,88%,97%,96%,68%,84%,81%,69%,74%,81%,96%,85%,81%,93%
Field_B,19.7,21.82,48.04,33252,96%,31.65,6.26,13.58,70%,94%,90%,83%,82%,70%,72%,64%,83%,80%,66%,61%,83%,66%,69%,75%,87%,67%,68%,68%,93%,71%,75%
Field_B,14.17,23.13,69.91,50975,61%,38.2,18.56,14.4,86%,94%,64%,68%,96%,83%,100%,94%,79%,74%,87%,68%,89%,88%,81%,62%,82%,83%,62%,74%,75%,70%,76%
Field_A,23.38,20.81,52.96,38588,80%,44.48,23.56,36.08,98%,83%,84%,61%,99%,80%,78%,66%,61%,78%,65%,75%,70%,65%,98%,67%,72%,85%,76%,93%,67%,86%,96%
Field_B,22.77,30.78,69.27,27186,88%,10.14,16.54,12.62,72%,83%,66%,84%,64%,100%,93%,69%,75%,69%,76%,69%,79%,61%,92%,62%,61%,84%,89%,78%,61%,70%,60%
Field_A,23.66,23.06,61.84,44866,72%,18.79,22.89,13.48,91%,74%,63%,83%,92%,89%,62%,72%,80%,78%,64%,88%,96%,82%,79%,69%,74%,96%,61%,74%,92%,90%,82%
Field_E,24.71,29.38,36.13,87852,64%,38.5,16.19,26.96,86%,94%,75%,83%,90%,62%,92%,86%,63%,91%,62%,63%,98%,93%,81%,92%,61%,77%,82%,79%,96%,80%,71%
Field_E,15.63,34.91,63.28,64193,67%,20.04,14.82,17.59,65%,64%,77%,85%,78%,62%,68%,95%,99%,88%,65%,68%,86%,75%,81%,92%,93%,72%,75%,81%,79%,65%,94%
Field_B,23.03,31.56,37.54,15323,92%,19.64,20.92,18.88,83%,68%,61%,89%,63%,84%,95%,80%,80%,66%,96%,71%,82%,73%,64%,72%,100%,65%,95%,81%,62%,90%,75%
Field_B,11.78,31.19,30.94,12040,75%,45.53,12.88,33.96,74%,72%,83%,93%,88%,93%,73%,74%,84%,93%,98%,60%,98%,68%,78%,82%,73%,98%,63%,77%,82%,71%,71%
Field_C,16.38,30.01,40.55,36486,90%,37.97,22.78,19.66,91%,71%,66%,77%,84%,63%,60%,60%,73%,90%,62%,89%,60%,64%,100%,73%,76%,82%,91%,88%,73%,88%,90%
Field_D,27.89,21.9,32.39,85757,79%,36.29,10.95,35.9,79%,63%,76%,67%,81%,97%,75%,69%,71%,73%,83%,80%,86%,97%,67%,100%,64%,91%,83%,92%,89%,71%,66%
Field_D,34.99,27.53,39.67,48236,96%,11.83,14.54,39.02,99%,99%,99%,66%,99%,66%,84%,94%,66%,90%,71%,71%,77%,91%,93%,78%,88%,79%,85%,95%,92%,88%,92%
Field_A,14.95,32.4,30.68,54860,73%,31.07,16.84,33.65,78%,96%,89%,62%,62%,96%,95%,97%,85%,72%,99%,82%,78%,66%,73%,66%,77%,70%,88%,76%,68%,96%,63%
Field_C,17.54,25.34,48.88,66168,84%,49.02,13.09,37.47,90%,99%,72%,69%,66%,78%,61%,82%,67%,97%,78%,89%,97%,69%,75%,85%,61%,74%,64%,84%,79%,75%,78%
Field_E,35.05,28.5,45.04,99649,89%,13.98,11.54,17.09,66%,78%,86%,73%,86%,69%,73%,90%,91%,61%,69%,77%,82%,98%,82%,94%,66%,78%,82%,97%,94%,92%,63%
Field_A,36.51,22.42,48.88,51846,81%,46.66,21.47,19.46,69%,80%,60%,61%,75%,71%,98%,75%,64%,72%,97%,79%,82%,89%,75%,77%,77%,79%,62%,95%,76%,92%,76%
Field_D,35.75,20.71,64.22,74864,92%,13.76,13.44,32.15,97%,93%,97%,100%,100%,93%,73%,85%,73%,81%,76%,95%,90%,69%,78%,84%,77%,86%,64%,94%,66%,91%,73%
Field_B,34.15,28.37,41.27,49507,99%,11.2,14.05,11.35,69%,86%,72%,68%,68%,96%,70%,74%,94%,93%,61%,68%,87%,65%,77%,100%,94%,69%,88%,94%,91%,96%,90%
Field_A,32.0,21.17,30.0,78401,68%,26.98,14.05,19.81,61%,73%,60%,75%,70%,77%,99%,61%,64%,64%,67%,99%,76%,67%,77%,70%,86%,86%,95%,94%,63%,78%,72%
Field_E,20.1,28.56,38.94,37380,90%,22.55,14.27,19.02,67%,84%,92%,94%,82%,96%,86%,60%,82%,94%,97%,87%,77%,91%,67%,77%,78%,65%,63%,84%,84%,66%,87%
Field_E,36.23,32.72,55.4,80285,73%,48.36,18.95,13.75,97%,88%,66%,99%,87%,61%,92%,66%,63%,66%,86%,88%,75%,97%,100%,96%,77%,92%,64%,94%,87%,69%,80%
Field_D,30.1,20.01,30.56,80895,87%,27.89,11.22,30.06,77%,76%,70%,84%,87%,81%,64%,69%,66%,76%,94%,93%,60%,80%,82%,62%,80%,92%,70%,87%,87%,61%,87%
Field_A,34.11,23.99,48.62,42150,93%,10.08,12.58,22.84,87%,93%,67%,61%,91%,81%,99%,83%,73%,94%,99%,78%,85%,99%,90%,67%,81%,60%,89%,96%,65%,88%,85%
Field_D,35.52,33.19,65.11,14826,84%,49.38,12.89,39.24,70%,94%,98%,86%,100%,70%,90%,92%,85%,62%,92%,77%,75%,75%,82%,85%,67%,62%,94%,75%,99%,60%,69%
Field_E,27.13,23.62,65.85,74050,71%,31.19,5.71,11.23,83%,100%,63%,81%,98%,90%,76%,89%,67%,70%,67%,66%,74%,65%,85%,79%,77%,86%,79%,84%,65%,79%,80%
Field_D,15.43,31.46,33.08,20892,70%,36.04,6.72,10.85,72%,99%,72%,69%,70%,71%,98%,64%,90%,87%,66%,69%,71%,78%,76%,96%,100%,90%,91%,72%,71%,66%,77%
Field_B,11.55,26.1,39.02,62513,74%,43.66,21.18,16.48,94%,100%,99%,98%,69%,74%,70%,81%,70%,70%,60%,100%,88%,83%,87%,94%,70%,85%,69%,63%,74%,84%,78%
Field_C,10.2,21.1,64.49,86251,91%,20.7,20.47,17.04,72%,62%,66%,92%,61%,82%,95%,72%,69%,94%,78%,63%,88%,100%,86%,68%,98%,74%,96%,88%,61%,84%,84%
Field_D,17.48,29.09,56.74,23391,87%,11.2,13.16,36.63,94%,78%,93%,63%,97%,77%,66%,76%,96%,63%,95%,62%,86%,86%,81%,83%,64%,71%,80%,93%,87%,69%,97%
Field_B,34.09,26.55,56.31,62483,65%,47.42,10.85,31.51,64%,65%,87%,88%,100%,77%,100%,93%,66%,80%,89%,63%,96%,66%,63%,74%,95%,70%,71%,93%,81%,78%,89%
Field_B,29.22,27.28,55.39,53268,73%,30.53,24.76,38.19,64%,62%,81%,65%,62%,83%,65%,72%,75%,99%,67%,94%,69%,83%,92%,82%,97%,87%,65%,82%,61%,90%,98%
Field_E,37.25,29.74,51.49,19847,71%,49.32,18.06,23.27,90%,90%,96%,79%,91%,74%,97%,86%,86%,67%,98%,85%,74%,97%,80%,78%,86%,86%,62%,67%,70%,67%,73%
Field_D,12.33,25.83,67.23,70827,88%,43.68,5.85,34.46,60%,79%,87%,65%,66%,86%,62%,81%,97%,79%,62%,67%,100%,95%,60%,93%,96%,90%,98%,78%,98%,96%,86%
Field_C,37.85,33.21,61.48,82053,84%,28.83,7.58,15.71,76%,88%,63%,62%,86%,68%,97%,88%,65%,89%,100%,66%,96%,90%,97%,78%,96%,60%,76%,60%,100%,69%,96%
Field_D,15.88,21.51,37.7,49323,88%,14.03,14.01,17.27,95%,81%,67%,82%,65%,69%,83%,65%,99%,72%,76%,94%,96%,78%,82%,60%,84%,90%,88%,81%,64%,96%,80%
Field_D,28.25,27.1,33.1,95948,99%,16.73,7.53,16.42,97%,63%,84%,62%,72%,100%,70%,88%,85%,87%,94%,64%,75%,84%,86%,88%,61%,96%,78%,85%,65%,84%,91%
Field_B,21.89,28.05,68.25,97285,76%,23.37,23.33,18.48,87%,77%,72%,75%,87%,66%,63%,69%,95%,90%,66%,87%,90%,69%,89%,73%,92%,73%,61%,78%,77%,99%,82%
Field_A,36.79,21.7,65.39,65980,61%,11.86,8.87,37.19,83%,63%,84%,88%,84%,70%,100%,80%,81%,100%,73%,84%,81%,77%,81%,65%,95%,76%,82%,70%,86%,93%,76%
Field_B,38.85,23.49,37.67,97234,87%,34.03,5.34,27.77,96%,98%,76%,92%,81%,100%,91%,70%,66%,93%,83%,70%,63%,80%,63%,72%,100%,83%,87%,82%,66%,66%,85%
Field_B,24.84,22.0,53.11,66888,71%,49.41,7.41,24.73,87%,82%,81%,66%,83%,80%,75%,71%,98%,62%,96%,79%,61%,83%,79%,96%,88%,93%,92%,86%,98%,86%,66%
Field_A,21.4,29.86,68.62,81410,86%,37.58,11.56,34.42,84%,62%,74%,82%,67%,92%,83%,79%,72%,78%,61%,72%,84%,98%,84%,78%,66%,65%,98%,95%,81%,79%,85%
Field_A,29.36,29.96,49.94,68411,83%,43.96,16.96,13.82,98%,66%,84%,72%,82%,96%,77%,63%,75%,85%,98%,88%,99%,92%,68%,91%,77%,84%,99%,63%,61%,75%,61%
Field_D,22.98,23.34,37.66,60021,79%,25.04,15.41,13.58,98%,63%,81%,61%,79%,95%,89%,73%,82%,71%,82%,85%,95%,64%,67%,99%,75%,81%,91%,73%,97%,95%,94%
Field_B,15.92,24.81,44.38,16455,90%,34.78,7.64,33.06,78%,62%,66%,96%,60%,89%,96%,95%,70%,89%,72%,92%,95%,100%,75%,95%,62%,100%,84%,61%,72%,89%,100%
Field_A,23.34,31.79,35.88,10817,68%,17.12,5.47,15.8,76%,71%,62%,62%,81%,63%,85%,62%,69%,76%,82%,86%,88%,81%,91%,82%,72%,62%,88%,77%,86%,73%,92%
Field_D,26.52,24.16,62.18,94349,72%,11.67,16.48,19.49,97%,88%,68%,89%,70%,74%,93%,79%,62%,95%,63%,90%,66%,86%,95%,65%,97%,62%,86%,61%,72%,96%,87%
Field_D,22.83,32.22,32.33,45759,95%,20.36,23.71,19.65,91%,89%,87%,61%,63%,85%,92%,66%,70%,92%,82%,75%,92%,71%,81%,99%,95%,84%,74%,94%,71%,87%,79%
Field_D,18.46,31.82,61.29,19274,69%,35.3,16.44,38.44,70%,73%,65%,93%,97%,64%,70%,82%,99%,60%,90%,61%,93%,60%,90%,85%,75%,63%,64%,91%,93%,85%,66%
Field_B,38.1,30.38,58.51,58327,74%,41.26,21.02,30.13,88%,98%,63%,94%,79%,63%,62%,98%,93%,93%,87%,75%,94%,98%,64%,98%,87%,89%,85%,91%,77%,90%,77%
Field_D,17.15,30.66,35.1,81398,99%,30.17,5.81,26.95,83%,79%,80%,62%,78%,65%,70%,71%,60%,65%,96%,66%,64%,94%,82%,83%,68%,95%,100%,62%,66%,94%,74%
Field_A,23.32,24.04,64.65,25293,72%,48.14,22.98,25.08,67%,85%,69%,75%,100%,93%,70%,70%,80%,100%,95%,60%,99%,81%,68%,94%,75%,81%,87%,96%,94%,92%,82%
Field_E,32.8,27.45,68.31,69309,100%,14.11,18.23,37.86,87%,61%,74%,68%,67%,73%,77%,96%,80%,71%,93%,85%,81%,71%,67%,88%,60%,62%,97%,65%,99%,75%,76%
Field_D,27.43,27.07,46.48,26287,74%,49.38,22.88,29.51,68%,85%,77%,69%,71%,97%,92%,87%,83%,72%,76%,67%,90%,74%,85%,95%,90%,90%,94%,73%,79%,65%,91%
Field_B,21.69,33.7,52.02,53171,63%,29.28,20.37,17.63,64%,84%,79%,68%,65%,77%,92%,80%,77%,65%,76%,78%,63%,73%,72%,78%,86%,94%,66%,70%,71%,97%,70%
Field_D,21.02,23.14,35.6,25694,100%,42.74,6.68,24.26,65%,93%,98%,65%,67%,72%,99%,83%,75%,92%,85%,80%,73%,63%,78%,96%,94%,75%,93%,98%,83%,78%,68%
Field_E,39.85,27.68,62.92,39019,62%,44.83,13.03,26.59,80%,65%,75%,63%,60%,83%,68%,67%,94%,99%,80%,85%,98%,86%,96%,95%,63%,84%,96%,74%,70%,72%,88%
Field_A,12.46,22.92,48.43,69786,97%,30.21,15.97,17.11,80%,81%,95%,97%,72%,71%,80%,84%,85%,91%,90%,64%,80%,89%,64%,61%,78%,100%,93%,95%,95%,82%,79%
Field_D,28.79,28.24,47.77,47452,93%,42.08,9.14,21.78,73%,90%,66%,75%,79%,92%,65%,80%,63%,87%,61%,81%,65%,70%,95%,68%,83%,91%,88%,83%,82%,71%,91%
Field_B,39.75,34.31,32.81,77495,70%,20.12,8.78,28.48,76%,65%,74%,68%,81%,72%,86%,81%,85%,85%,79%,94%,80%,72%,89%,79%,78%,90%,99%,65%,94%,70%,75%
Field_B,37.8,33.91,61.59,42963,64%,16.94,20.79,11.43,88%,81%,69%,100%,61%,60%,78%,77%,96%,67%,62%,85%,93%,61%,97%,77%,91%,73%,70%,73%,69%,80%,60%
Field_B,36.09,21.35,42.19,52738,72%,17.51,24.88,11.23,63%,90%,61%,79%,66%,79%,76%,75%,95%,62%,95%,75%,61%,70%,90%,89%,79%,77%,86%,62%,99%,61%,67%
